"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","11-Oct-2018","       1102.10","       1064.00","       1114.75","       1043.00","       1090.00","       1087.80","       1086.10","   13224172","         14362719399.05","     278072","    4793025","         36.24"
"RELIANCE","EQ","12-Oct-2018","       1087.80","       1104.95","       1129.00","       1101.90","       1125.50","       1126.55","       1121.38","    9058536","         10158064312.85","     192795","    3444135","         38.02"
"RELIANCE","EQ","15-Oct-2018","       1126.55","       1129.90","       1146.90","       1118.15","       1137.75","       1139.75","       1136.88","    8871776","         10086128972.15","     200369","    3286277","         37.04"
"RELIANCE","EQ","16-Oct-2018","       1139.75","       1146.00","       1167.40","       1140.00","       1166.00","       1163.80","       1154.23","    7478601","          8632001461.45","     153398","    2436006","         32.57"
"RELIANCE","EQ","17-Oct-2018","       1163.80","       1179.00","       1179.35","       1140.00","       1151.00","       1151.30","       1166.52","   12785646","         14914670103.05","     203752","    5683158","         44.45"
"RELIANCE","EQ","19-Oct-2018","       1151.30","       1100.00","       1111.00","       1070.25","       1100.30","       1101.30","       1092.05","   25421229","         27761323831.00","     526528","   11760364","         46.26"
"RELIANCE","EQ","22-Oct-2018","       1101.30","       1110.00","       1114.80","       1057.35","       1063.20","       1062.65","       1084.30","   13165542","         14275380336.50","     324137","    5575032","         42.35"
"RELIANCE","EQ","23-Oct-2018","       1062.65","       1052.75","       1064.70","       1043.65","       1061.70","       1054.70","       1053.27","   10573730","         11137009298.35","     232603","    4935700","         46.68"
"RELIANCE","EQ","24-Oct-2018","       1054.70","       1074.90","       1075.95","       1031.40","       1049.00","       1045.75","       1050.33","   13655337","         14342542136.70","     218013","    6374934","         46.68"
"RELIANCE","EQ","25-Oct-2018","       1045.75","       1036.00","       1040.65","       1016.40","       1037.80","       1030.80","       1029.24","   14096237","         14508429667.50","     233601","    5933721","         42.09"
"RELIANCE","EQ","26-Oct-2018","       1030.80","       1032.90","       1057.00","       1022.00","       1042.45","       1044.90","       1043.01","    9182613","          9577513897.30","     214886","    2807996","         30.58"
"RELIANCE","EQ","29-Oct-2018","       1044.90","       1046.00","       1093.85","       1046.00","       1089.00","       1087.80","       1069.59","    7671807","          8205700905.40","     169046","    2524165","         32.90"
"RELIANCE","EQ","30-Oct-2018","       1087.80","       1085.50","       1085.50","       1052.10","       1056.90","       1057.00","       1065.23","    8806701","          9381128111.90","     187775","    3419851","         38.83"
"RELIANCE","EQ","31-Oct-2018","       1057.00","       1059.00","       1065.85","       1047.00","       1058.20","       1061.25","       1059.51","   16457691","         17437021867.80","     198506","    7878322","         47.87"
"RELIANCE","EQ","01-Nov-2018","       1061.25","       1067.90","       1067.90","       1050.00","       1055.00","       1056.25","       1059.03","    9396027","          9950642966.10","     156986","    4656665","         49.56"
"RELIANCE","EQ","02-Nov-2018","       1056.25","       1067.00","       1081.00","       1063.15","       1074.00","       1074.90","       1072.30","   16796200","         18010596483.00","     200419","    8445647","         50.28"
