"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LUPIN","EQ","28-Feb-2018","        826.30","        823.90","        828.90","        815.10","        822.00","        819.95","        821.31","     882036","           724427835.95","      39525","     477022","         54.08"
"LUPIN","EQ","01-Mar-2018","        819.95","        820.00","        824.25","        802.30","        804.00","        803.90","        809.78","    1311644","          1062146301.90","      45135","     666075","         50.78"
"LUPIN","EQ","05-Mar-2018","        803.90","        804.00","        806.00","        789.00","        790.00","        790.15","        792.76","    1944252","          1541331062.20","      51990","    1104401","         56.80"
"LUPIN","EQ","06-Mar-2018","        790.15","        792.00","        795.00","        768.40","        770.55","        773.40","        780.73","    2526715","          1972683226.55","      76323","    1199819","         47.49"
"LUPIN","EQ","07-Mar-2018","        773.40","        772.00","        773.40","        756.00","        762.70","        761.75","        763.06","    1288034","           982845235.95","      36490","     442235","         34.33"
"LUPIN","EQ","08-Mar-2018","        761.75","        765.00","        774.40","        750.15","        770.90","        771.15","        763.21","    1345222","          1026690681.35","      36767","     497920","         37.01"
"LUPIN","EQ","09-Mar-2018","        771.15","        775.00","        781.00","        762.00","        764.05","        764.50","        773.10","     813679","           629053246.30","      28611","     217039","         26.67"
"LUPIN","EQ","12-Mar-2018","        764.50","        768.00","        773.70","        761.20","        772.00","        769.80","        768.51","    1174238","           902416439.20","      20560","     523265","         44.56"
"LUPIN","EQ","13-Mar-2018","        769.80","        770.00","        784.90","        768.60","        780.90","        780.60","        779.48","     881387","           687026001.70","      21920","     256959","         29.15"
"LUPIN","EQ","14-Mar-2018","        780.60","        779.90","        786.80","        777.55","        781.50","        781.55","        782.12","     698211","           546084347.35","      23696","     243291","         34.84"
"LUPIN","EQ","15-Mar-2018","        781.55","        781.00","        792.00","        773.80","        774.20","        776.65","        784.97","     834688","           655201340.00","      25384","     256064","         30.68"
"LUPIN","EQ","16-Mar-2018","        776.65","        776.50","        783.90","        760.00","        761.90","        761.85","        767.29","    1419793","          1089398349.90","      49154","     810742","         57.10"
"LUPIN","EQ","19-Mar-2018","        761.85","        766.40","        772.60","        759.30","        765.30","        766.60","        767.13","    1196025","           917503612.45","      27250","     391146","         32.70"
"LUPIN","EQ","20-Mar-2018","        766.60","        760.00","        774.00","        757.25","        772.25","        771.75","        768.26","     975082","           749114654.05","      21657","     329004","         33.74"
"LUPIN","EQ","21-Mar-2018","        771.75","        771.70","        780.00","        765.00","        768.80","        767.85","        773.81","     758910","           587249073.40","      25619","     256308","         33.77"
"LUPIN","EQ","22-Mar-2018","        767.85","        769.00","        775.00","        757.00","        757.00","        758.50","        765.52","     729009","           558067779.70","      24483","     259697","         35.62"
"LUPIN","EQ","23-Mar-2018","        758.50","        751.00","        752.95","        731.45","        734.00","        734.50","        738.77","    1701513","          1257019886.30","      67569","     787121","         46.26"
"LUPIN","EQ","26-Mar-2018","        734.50","        734.50","        744.00","        727.10","        740.10","        740.15","        736.58","    1276440","           940201294.85","      26380","     489103","         38.32"
