"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"YESBANK","EQ","24-Sep-2018","        226.50","        236.50","        237.50","        215.85","        225.75","        226.40","        227.37","  105701372","         24033794384.25","     685460","   37314423","         35.30"
"YESBANK","EQ","25-Sep-2018","        226.40","        230.00","        238.85","        197.25","        220.50","        219.70","        223.09","  110217421","         24588772625.05","     832786","   27576218","         25.02"
"YESBANK","EQ","26-Sep-2018","        219.70","        223.00","        229.80","        217.00","        223.70","        223.75","        224.65","   62814786","         14111350860.35","     451242","   19163545","         30.51"
"YESBANK","EQ","27-Sep-2018","        223.75","        226.00","        227.00","        202.05","        203.60","        203.25","        210.00","   91197198","         19150976725.90","     647010","   33844085","         37.11"
"YESBANK","EQ","28-Sep-2018","        203.25","        203.60","        204.00","        165.00","        184.10","        183.65","        184.54","  148654874","         27432929748.90","     957046","   42234733","         28.41"
"YESBANK","EQ","01-Oct-2018","        183.65","        180.00","        203.80","        170.60","        199.85","        200.85","        190.13","  130992623","         24906273973.80","     742369","   39202955","         29.93"
"YESBANK","EQ","03-Oct-2018","        200.85","        205.00","        222.95","        202.25","        212.15","        212.75","        214.85","   97945695","         21043941602.20","     595714","   27041055","         27.61"
"YESBANK","EQ","04-Oct-2018","        212.75","        209.40","        220.00","        205.05","        214.30","        215.00","        214.30","   65604016","         14059052703.90","     425632","   14525270","         22.14"
"YESBANK","EQ","05-Oct-2018","        215.00","        215.00","        218.50","        203.10","        203.95","        206.00","        211.70","   40546788","          8583565105.80","     334113","    9679844","         23.87"
"YESBANK","EQ","08-Oct-2018","        206.00","        210.00","        226.60","        207.40","        221.75","        221.20","        217.70","   62349640","         13573279169.25","     445735","   14391304","         23.08"
"YESBANK","EQ","09-Oct-2018","        221.20","        225.50","        233.80","        222.60","        225.45","        224.65","        228.61","   49480210","         11311479371.40","     362570","   12184787","         24.63"
"YESBANK","EQ","10-Oct-2018","        224.65","        229.00","        237.00","        219.40","        234.85","        233.90","        230.05","   52351177","         12043211872.90","     376406","   14023559","         26.79"
"YESBANK","EQ","11-Oct-2018","        233.90","        222.00","        268.95","        216.65","        241.00","        240.20","        243.53","   94679663","         23057029949.25","     665099","   22853563","         24.14"
"YESBANK","EQ","12-Oct-2018","        240.20","        247.00","        254.40","        244.50","        245.65","        246.45","        248.69","   43535321","         10826756895.50","     308158","   12549767","         28.83"
