"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SAIL","EQ","28-Sep-2018","         74.20","         74.85","         74.85","         67.80","         68.05","         68.25","         70.46","   18975150","          1336973469.65","      42290","    3965563","         20.90"
"SAIL","EQ","01-Oct-2018","         68.25","         68.15","         69.25","         64.20","         68.90","         69.00","         66.97","   14518906","           972266863.55","      35513","    1050575","          7.24"
"SAIL","EQ","03-Oct-2018","         69.00","         68.85","         71.35","         68.00","         68.65","         68.95","         69.94","   12102431","           846410947.20","      28430","    1525079","         12.60"
"SAIL","EQ","04-Oct-2018","         68.95","         68.80","         71.10","         67.70","         68.90","         69.25","         69.43","   17547538","          1218257508.75","      40884","    3534790","         20.14"
"SAIL","EQ","05-Oct-2018","         69.25","         68.15","         69.85","         65.10","         65.60","         65.90","         67.44","   11808545","           796364073.55","      30300","    1605664","         13.60"
"SAIL","EQ","08-Oct-2018","         65.90","         65.05","         66.65","         62.55","         64.85","         64.50","         64.63","   13774219","           890237741.25","      33805","    1202719","          8.73"
"SAIL","EQ","09-Oct-2018","         64.50","         65.10","         66.35","         61.80","         63.20","         63.55","         64.07","   22423331","          1436666997.55","      52611","    2972402","         13.26"
"SAIL","EQ","10-Oct-2018","         63.55","         62.70","         67.40","         62.70","         67.15","         66.80","         65.60","   11204682","           734999250.50","      25420","    1447460","         12.92"
"SAIL","EQ","11-Oct-2018","         66.80","         65.00","         66.60","         63.80","         65.20","         64.90","         65.01","   10606784","           689562917.15","      21244","     644868","          6.08"
"SAIL","EQ","12-Oct-2018","         64.90","         65.50","         67.20","         65.05","         66.50","         66.55","         66.17","   14456332","           956510436.80","      23026","    5547367","         38.37"
"SAIL","EQ","15-Oct-2018","         66.55","         66.55","         67.50","         65.40","         67.35","         67.05","         66.62","    7867758","           524186834.00","      18548","     653134","          8.30"
"SAIL","EQ","16-Oct-2018","         67.05","         67.35","         68.25","         67.15","         67.60","         67.55","         67.63","    4844056","           327579870.60","      14104","     730240","         15.07"
"SAIL","EQ","17-Oct-2018","         67.55","         68.45","         68.70","         65.00","         65.70","         65.35","         66.53","    7246190","           482110003.25","      19106","    1041610","         14.37"
